Beat_Index,Time_s,Original_RR_ms,Cleaned_RR_ms,Instant_HR_BPM
1,1.424,768,768,78.125
2,2.162,738,738,81.3008130081301
3,2.894,732,732,81.3008130081301
4,3.64,746,746,80.4289544235925
5,4.426,786,786,80
6,5.176,750,750,80
7,5.888,712,712,84.2696629213483
8,6.586,698,698,85.2272727272727
9,7.29,704,704,85.2272727272727
10,8.03,740,740,81.0810810810811
11,8.812,782,782,76.7263427109974
12,9.624,812,812,76.7263427109974
13,10.404,780,780,76.9230769230769
14,11.154,750,750,80
15,11.896,742,742,80
16,12.65,754,754,79.5755968169761
17,13.426,776,776,77.319587628866
18,14.206,780,780,77.319587628866
19,14.958,752,752,79.7872340425532
20,15.684,726,726,82.6446280991736
21,16.22,536,536,82.6446280991736
22,16.986,766,766,78.3289817232376
23,17.78,794,794,75.5667506297229
24,18.588,808,808,75.5667506297229
25,19.362,774,774,77.5193798449612
26,20.092,730,730,82.1917808219178
27,20.814,722,722,82.1917808219178
28,21.55,736,736,81.5217391304348
29,22.326,776,776,77.319587628866
30,23.694,1368,1368,77.319587628866
31,24.424,730,730,82.1917808219178
32,25.114,690,690,86.9565217391304
33,25.792,678,678,88.4955752212389
34,26.47,678,678,88.4955752212389
35,27.224,754,754,79.5755968169761
36,28.052,828,828,72.463768115942
37,28.914,862,862,70.0934579439252
38,29.77,856,856,70.0934579439252
39,30.578,808,808,74.2574257425743
40,31.382,804,804,74.2574257425743
41,32.208,826,826,73.5294117647059
42,33.024,816,816,73.5294117647059
43,33.78,756,756,79.3650793650794
44,34.512,732,732,81.9672131147541
45,35.244,732,732,81.9672131147541
46,35.978,734,734,81.7438692098093
47,36.734,756,756,79.3650793650794
48,37.498,764,764,79.3650793650794
49,38.25,752,752,79.7872340425532
50,38.96,710,710,84.5070422535211
51,39.636,676,676,88.7573964497041
52,40.304,668,668,89.8203592814371
53,40.97,666,666,89.8203592814371
54,41.674,704,704,85.2272727272727
55,42.444,770,770,77.9220779220779
56,43.222,778,778,77.120822622108
57,44.014,792,792,75.7575757575758
58,44.812,798,798,75.7575757575758
59,45.604,792,792,75.5667506297229
60,46.398,794,794,75.7575757575758
61,47.18,782,782,76.7263427109974
62,47.954,774,774,77.5193798449612
63,48.722,768,768,78.125
64,49.484,762,762,78.740157480315
65,50.244,760,760,78.9473684210526
66,51,756,756,78.9473684210526
67,51.76,760,760,79.3650793650794
68,52.516,756,756,79.155672823219
69,53.274,758,758,79.155672823219
70,54.034,760,760,79.155672823219
71,54.79,756,756,79.155672823219
72,55.548,758,758,79.155672823219
73,56.32,772,772,77.720207253886
74,57.096,776,776,77.319587628866
75,57.884,788,788,76.1421319796954
76,58.7,816,816,73.5294117647059
77,59.544,844,844,71.0900473933649
78,60.414,870,870,68.9655172413793
79,61.294,880,880,68.3371298405467
80,62.172,878,878,68.1818181818182
81,63.054,882,882,68.3371298405467
82,63.918,864,864,69.4444444444444
83,64.664,746,746,80.4289544235925
84,65.362,698,698,85.9598853868195
85,66.034,672,672,87.2093023255814
86,66.722,688,688,87.4635568513119
87,67.408,686,686,87.2093023255814
88,68.14,732,732,81.9672131147541
89,68.918,778,778,78.740157480315
90,69.68,762,762,78.740157480315
91,70.4,720,720,83.3333333333333
92,71.084,684,684,87.719298245614
93,71.746,662,662,90.6344410876133
94,72.39,644,644,93.167701863354
95,73.024,634,634,93.167701863354
96,73.694,670,670,89.5522388059701
97,74.444,750,750,80
98,75.23,786,786,80
99,75.948,718,718,83.5654596100279
100,76.654,706,706,83.5654596100279
101,77.404,750,750,80
102,78.256,852,852,70.4225352112676
103,79.172,916,916,67.8733031674208
104,80.056,884,884,67.8733031674208
105,80.856,800,800,75
106,81.644,788,788,75.3768844221105
107,82.44,796,796,75.3768844221105
108,83.268,828,828,72.463768115942
109,84.098,830,830,72.463768115942
110,84.898,800,800,75
111,85.638,740,740,81.0810810810811
112,86.372,734,734,81.5217391304348
113,87.108,736,736,81.5217391304348
114,87.866,758,758,79.155672823219
115,88.638,772,772,79.155672823219
116,89.384,746,746,80.4289544235925
117,90.094,710,710,84.5070422535211
118,90.802,708,708,84.5070422535211
119,91.514,712,712,84.2696629213483
120,92.26,746,746,80.4289544235925
121,93.04,780,780,76.9230769230769
122,93.826,786,786,76.9230769230769
123,94.574,748,748,80.2139037433155
124,94.974,400,400,80.2139037433155
125,95.826,852,852,70.4225352112676
126,96.704,878,878,70.4225352112676
127,97.55,846,846,70.9219858156028
128,98.318,768,768,78.125
129,99.048,730,730,81.3008130081301
130,99.786,738,738,81.3008130081301
131,100.546,760,760,78.9473684210526
132,101.352,806,806,74.4416873449131
133,102.176,824,824,74.4416873449131
134,102.978,802,802,74.8129675810474
135,103.764,786,786,76.3358778625954
136,104.518,754,754,79.5755968169761
137,105.25,732,732,81.9672131147541
138,105.954,704,704,85.2272727272727
139,106.642,688,688,87.2093023255814
140,107.324,682,682,87.9765395894428
141,107.998,674,674,88.7573964497041
142,108.674,676,676,88.7573964497041
143,109.358,684,684,87.719298245614
144,110.066,708,708,84.7457627118644
145,110.8,734,734,81.7438692098093
146,111.562,762,762,78.740157480315
147,112.348,786,786,76.3358778625954
148,113.16,812,812,73.8916256157635
149,113.978,818,818,73.3496332518337
150,114.796,818,818,73.3496332518337
151,115.614,818,818,73.3496332518337
152,116.426,812,812,73.8916256157635
153,117.232,806,806,74.4416873449131
154,118.018,786,786,76.3358778625954
155,118.78,762,762,78.740157480315
156,119.53,750,750,80
157,120.268,738,738,81.3008130081301
158,120.996,728,728,82.4175824175824
159,121.724,728,728,82.4175824175824
160,122.46,736,736,81.5217391304348
161,123.212,752,752,81.5217391304348
162,123.93,718,718,83.5654596100279
163,124.624,694,694,85.7142857142857
164,125.324,700,700,85.7142857142857
165,126.054,730,730,82.1917808219178
166,126.862,808,808,74.6268656716418
167,127.666,804,804,74.6268656716418
168,128.432,766,766,78.3289817232376
169,129.166,734,734,81.7438692098093
170,129.89,724,724,82.1917808219178
171,130.62,730,730,82.1917808219178
172,131.376,756,756,79.3650793650794
173,132.156,780,780,77.319587628866
174,132.932,776,776,77.319587628866
175,133.662,730,730,82.1917808219178
176,134.358,696,696,86.2068965517241
177,135.04,682,682,87.9765395894428
178,135.708,668,668,87.9765395894428
179,136.402,694,694,86.4553314121037
180,137.15,748,748,80.2139037433155
181,137.922,772,772,80
182,138.672,750,750,80
183,139.394,722,722,81.5217391304348
184,140.13,736,736,81.5217391304348
185,140.902,772,772,77.720207253886
186,141.704,802,802,74.8129675810474
187,142.508,804,804,74.8129675810474
188,143.282,774,774,77.5193798449612
189,144.016,734,734,81.7438692098093
190,144.734,718,718,83.5654596100279
191,145.448,714,714,83.5654596100279
192,146.174,726,726,82.6446280991736
193,146.906,732,732,82.6446280991736
194,147.624,718,718,83.5654596100279
195,148.324,700,700,85.7142857142857
196,149.01,686,686,87.4635568513119
197,149.696,686,686,87.4635568513119
198,150.416,720,720,83.3333333333333
199,151.186,770,770,77.9220779220779
200,151.982,796,796,77.120822622108
201,152.76,778,778,77.120822622108
202,153.498,738,738,81.3008130081301
203,154.228,730,730,81.3008130081301
204,154.966,738,738,81.3008130081301
205,155.724,758,758,79.155672823219
206,156.488,764,764,79.155672823219
207,157.242,754,754,79.5755968169761
208,157.966,724,724,82.8729281767956
209,158.67,704,704,84.5070422535211
210,159.38,710,710,84.5070422535211
211,160.108,728,728,82.4175824175824
212,160.876,768,768,78.125
213,161.658,782,782,76.9230769230769
214,162.438,780,780,76.9230769230769
215,163.204,766,766,78.125
216,163.972,768,768,78.3289817232376
217,164.726,754,754,79.5755968169761
218,165.466,740,740,81.0810810810811
219,166.188,722,722,83.1024930747922
220,166.898,710,710,84.5070422535211
221,167.608,710,710,84.5070422535211
222,168.328,720,720,83.3333333333333
223,169.05,722,722,83.1024930747922
224,169.776,726,726,82.6446280991736
225,170.514,738,738,81.3008130081301
226,171.26,746,746,80.4289544235925
227,172.03,770,770,77.9220779220779
228,172.822,792,792,75.7575757575758
229,173.624,802,802,74.8129675810474
230,174.432,808,808,74.8129675810474
231,175.224,792,792,74.4416873449131
232,176.03,806,806,74.4416873449131
233,176.836,806,806,74.4416873449131
234,177.626,790,790,75.9493670886076
235,178.406,780,780,76.9230769230769
236,179.172,766,766,78.3289817232376
237,179.924,752,752,79.7872340425532
238,180.666,742,742,80.8625336927224
239,181.394,728,728,82.4175824175824
240,182.118,724,724,82.8729281767956
241,182.838,720,720,83.3333333333333
242,183.55,712,712,84.2696629213483
243,184.238,688,688,87.2093023255814
244,184.916,678,678,87.4635568513119
245,185.602,686,686,87.4635568513119
246,186.332,730,730,82.1917808219178
247,187.1,768,768,80.8625336927224
248,187.842,742,742,80.8625336927224
249,188.562,720,720,83.3333333333333
250,189.268,706,706,83.5654596100279
251,189.986,718,718,83.5654596100279
252,190.726,740,740,81.0810810810811
253,191.498,772,772,77.720207253886
254,192.288,790,790,77.720207253886
255,193.04,752,752,79.7872340425532
256,193.75,710,710,84.5070422535211
257,194.448,698,698,85.9598853868195
258,195.134,686,686,86.9565217391304
259,195.824,690,690,86.9565217391304
260,196.528,704,704,86.9565217391304
261,197.214,686,686,87.4635568513119
262,197.876,662,662,90.6344410876133
263,198.536,660,660,90.6344410876133
264,199.206,670,670,89.5522388059701
265,199.912,706,706,84.985835694051
266,200.64,728,728,84.7457627118644
267,201.348,708,708,82.6446280991736
268,202.074,726,726,82.6446280991736
269,202.806,732,732,81.9672131147541
270,203.554,748,748,81.3008130081301
271,204.292,738,738,81.3008130081301
272,205.01,718,718,82.8729281767956
273,205.734,724,724,82.8729281767956
274,206.478,744,744,80.6451612903226
275,207.27,792,792,75.7575757575758
276,208.074,804,804,75.7575757575758
277,208.838,764,764,78.5340314136126
278,209.574,736,736,81.5217391304348
279,210.306,732,732,81.5217391304348
280,211.054,748,748,80.2139037433155
281,211.822,768,768,78.125
282,212.594,772,772,78.125
283,213.334,740,740,81.0810810810811
284,214.052,718,718,82.4175824175824
285,214.78,728,728,82.4175824175824
286,215.54,760,760,78.9473684210526
287,216.342,802,802,74.8129675810474
288,217.158,816,816,74.4416873449131
289,217.964,806,806,74.4416873449131
290,218.714,750,750,80
291,219.434,720,720,83.3333333333333
292,220.152,718,718,83.5654596100279
293,220.868,716,716,83.5654596100279
294,221.612,744,744,80.6451612903226
295,222.386,774,774,78.3289817232376
296,223.152,766,766,78.3289817232376
297,223.902,750,750,80
298,224.63,728,728,82.4175824175824
299,225.346,716,716,83.7988826815643
300,226.06,714,714,84.0336134453782
301,226.774,714,714,84.0336134453782
302,227.508,734,734,81.7438692098093
303,228.252,744,744,80.6451612903226
304,229.002,750,750,80
305,229.764,762,762,78.740157480315
306,230.528,764,764,78.5340314136126
307,231.302,774,774,77.5193798449612
308,232.096,794,794,75.9493670886076
309,232.886,790,790,75.5667506297229
310,233.684,798,798,75.187969924812
311,234.482,798,798,75.187969924812
312,235.278,796,796,75.3768844221105
313,236.064,786,786,76.3358778625954
314,236.84,776,776,77.319587628866
315,237.604,764,764,78.5340314136126
316,238.36,756,756,79.3650793650794
317,239.112,752,752,79.5755968169761
318,239.866,754,754,79.5755968169761
319,240.632,766,766,78.3289817232376
320,241.428,796,796,75.3768844221105
321,242.232,804,804,74.6268656716418
322,243.046,814,814,73.7100737100737
323,243.86,814,814,73.7100737100737
324,244.646,786,786,76.3358778625954
325,245.392,746,746,80.4289544235925
326,246.108,716,716,83.7988826815643
327,246.818,710,710,83.7988826815643
328,247.552,734,734,81.7438692098093
329,248.356,804,804,74.6268656716418
330,249.216,860,860,74.6268656716418
331,250.02,804,804,74.6268656716418
332,250.772,752,752,79.7872340425532
333,251.504,732,732,81.5217391304348
334,252.24,736,736,81.5217391304348
335,252.976,736,736,81.5217391304348
336,253.738,762,762,78.740157480315
337,254.522,784,784,77.720207253886
338,255.294,772,772,77.720207253886
339,256.018,724,724,82.8729281767956
340,256.708,690,690,86.9565217391304
341,257.382,674,674,89.0207715133531
342,258.038,656,656,91.4634146341463
343,258.688,650,650,91.4634146341463
344,259.368,680,680,88.2352941176471
345,260.066,698,698,85.9598853868195
346,260.768,702,702,85.9598853868195
347,261.466,698,698,85.9598853868195
348,262.132,666,666,89.5522388059701
349,262.802,670,670,89.5522388059701
350,263.498,696,696,86.2068965517241
351,264.282,784,784,76.530612244898
352,265.112,830,830,72.289156626506
353,265.952,840,840,72.289156626506
354,266.742,790,790,75.9493670886076
355,267.482,740,740,80.8625336927224
356,268.224,742,742,80.8625336927224
357,268.99,766,766,78.3289817232376
358,269.776,786,786,77.319587628866
359,270.552,776,776,77.319587628866
360,271.296,744,744,80.6451612903226
361,271.996,700,700,85.7142857142857
362,272.666,670,670,89.5522388059701
363,273.328,662,662,89.5522388059701
364,274.008,680,680,88.2352941176471
365,274.746,738,738,81.3008130081301
366,275.516,770,770,77.9220779220779
367,276.29,774,774,77.9220779220779
368,277.03,740,740,81.0810810810811
369,277.732,702,702,84.985835694051
370,278.438,706,706,84.985835694051
371,279.164,726,726,82.6446280991736
372,279.956,792,792,75.7575757575758
373,280.79,834,834,72.289156626506
374,281.62,830,830,72.289156626506
375,282.384,764,764,78.5340314136126
376,283.106,722,722,83.1024930747922
377,283.818,712,712,84.0336134453782
378,284.532,714,714,84.0336134453782
