Beat_Index,Time_s,Original_RR_ms,Cleaned_RR_ms,Instant_HR_BPM
1,1.01,814,814,73.7100737100737
2,1.818,808,808,74.2574257425743
3,2.568,750,750,80
4,3.272,704,704,85.2272727272727
5,3.97,698,698,85.9598853868195
6,4.68,710,710,84.5070422535211
7,5.434,754,754,79.5755968169761
8,6.218,784,784,76.530612244898
9,6.978,760,760,78.9473684210526
10,7.7,722,722,83.1024930747922
11,8.442,742,742,80.8625336927224
12,9.22,778,778,77.120822622108
13,10.024,804,804,74.6268656716418
14,10.846,822,822,72.992700729927
15,11.66,814,814,73.7100737100737
16,12.432,772,772,77.720207253886
17,13.184,752,752,79.7872340425532
18,13.962,778,778,77.120822622108
19,14.77,808,808,74.2574257425743
20,15.586,816,816,73.5294117647059
21,16.392,806,806,74.4416873449131
22,17.162,770,770,77.9220779220779
23,17.89,728,728,82.4175824175824
24,18.618,728,728,82.4175824175824
25,19.38,762,762,78.740157480315
26,20.206,826,826,72.6392251815981
27,21.084,878,878,68.3371298405467
28,21.948,864,864,69.4444444444444
29,22.768,820,820,73.1707317073171
30,23.556,788,788,76.1421319796954
31,24.366,810,810,74.0740740740741
32,25.212,846,846,70.9219858156028
33,26.08,868,868,69.1244239631336
34,26.944,864,864,69.4444444444444
35,27.788,844,844,71.0900473933649
36,28.57,782,782,76.7263427109974
37,29.3,730,730,82.1917808219178
38,30.036,736,736,81.5217391304348
39,30.806,770,770,77.9220779220779
40,31.642,836,836,71.7703349282297
41,32.494,852,852,70.4225352112676
42,33.336,842,842,71.2589073634204
43,34.124,788,788,76.1421319796954
44,34.87,746,746,80.4289544235925
45,35.622,752,752,79.7872340425532
46,36.414,792,792,75.7575757575758
47,37.26,846,846,70.9219858156028
48,38.1,840,840,71.4285714285714
49,38.918,818,818,73.3496332518337
50,39.664,746,746,80.4289544235925
51,40.362,698,698,85.9598853868195
52,41.046,684,684,87.719298245614
53,41.734,688,688,87.2093023255814
54,42.462,728,728,82.4175824175824
55,43.268,806,806,74.4416873449131
56,44.104,836,836,71.7703349282297
57,44.962,858,858,69.9300699300699
58,45.83,868,868,69.1244239631336
59,46.72,890,890,67.4157303370787
60,47.608,888,888,67.5675675675676
61,48.484,876,876,68.4931506849315
62,49.342,858,858,69.9300699300699
63,50.164,822,822,72.992700729927
64,50.946,782,782,76.7263427109974
65,51.698,752,752,79.7872340425532
66,52.434,736,736,81.5217391304348
67,53.174,740,740,81.0810810810811
68,53.928,754,754,79.5755968169761
69,54.69,762,762,78.740157480315
70,55.474,784,784,76.530612244898
71,56.276,802,802,74.8129675810474
72,57.102,826,826,72.6392251815981
73,57.942,840,840,71.4285714285714
74,58.788,846,846,70.9219858156028
75,59.636,848,848,70.7547169811321
76,60.478,842,842,71.2589073634204
77,61.322,844,844,71.0900473933649
78,62.162,840,840,71.4285714285714
79,62.974,812,812,73.8916256157635
80,63.75,776,776,77.319587628866
81,64.51,760,760,78.9473684210526
82,65.234,724,724,82.8729281767956
83,65.93,696,696,86.2068965517241
84,66.618,688,688,87.2093023255814
85,67.32,702,702,85.4700854700855
86,68.086,766,766,78.3289817232376
87,68.97,884,884,67.8733031674208
88,69.888,918,918,65.359477124183
89,70.796,908,908,66.079295154185
90,71.628,832,832,72.1153846153846
91,72.45,822,822,72.992700729927
92,73.29,840,840,71.4285714285714
93,74.15,860,860,69.7674418604651
94,75.006,856,856,70.0934579439252
95,75.844,838,838,71.5990453460621
96,76.614,770,770,77.9220779220779
97,77.336,722,722,83.1024930747922
